X,Y,Date,OpnDatum1,OpnDatum2
80754.269602539,217773.980077776,20150305,2015/03/05,
81999.9999969246,215395.745078757,20150306,2015/03/06,
81999.9999969246,211206.850078758,20150308,2015/03/08,
84723.0129598184,206994.320077796,20150310,2015/03/10,
81999.9999969246,202855.819878758,20150311,2015/03/11,
81999.9999969246,198788.905029258,20150312,2015/03/12,
78722.9248640059,217612.590077821,20150306,2015/03/05,2015/03/06
81999.9999969246,213180.865078739,20150308,2015/03/06,2015/03/08
85946.8706584166,209224.304977923,20150308,2015/03/08,2015/03/10
81999.9999969246,204653.155078764,20150311,2015/03/10,2015/03/11
81999.9999969246,201065.544978757,20150312,2015/03/11,2015/03/12
87103.1867320364,199864.845078728,20150313,2015/03/12,2015/03/13
